Address,Business info,Price range,Restaurant name,Review counts,Yes/No
"14339 NE 20th St, Bellevue, WA 98007",Good For,10.0,Señor Taco,148,"Lunch, Dinner"
"14339 NE 20th St, Bellevue, WA 98007",Parking,10.0,Señor Taco,148,Private Lot
"14339 NE 20th St, Bellevue, WA 98007",Bike Parking,10.0,Señor Taco,148,Yes
"14339 NE 20th St, Bellevue, WA 98007",Wheelchair Accessible,10.0,Señor Taco,148,Yes
"14339 NE 20th St, Bellevue, WA 98007",Good for Kids,10.0,Señor Taco,148,Yes
"14339 NE 20th St, Bellevue, WA 98007",Good for Groups,10.0,Señor Taco,148,Yes
"14339 NE 20th St, Bellevue, WA 98007",Attire,10.0,Señor Taco,148,Casual
"14339 NE 20th St, Bellevue, WA 98007",Ambience,10.0,Señor Taco,148,Casual
"14339 NE 20th St, Bellevue, WA 98007",Noise Level,10.0,Señor Taco,148,Average
"14339 NE 20th St, Bellevue, WA 98007",Alcohol,10.0,Señor Taco,148,No
"14339 NE 20th St, Bellevue, WA 98007",Outdoor Seating,10.0,Señor Taco,148,No
"14339 NE 20th St, Bellevue, WA 98007",Wi-Fi,10.0,Señor Taco,148,No
"14339 NE 20th St, Bellevue, WA 98007",Has TV,10.0,Señor Taco,148,Yes
"14339 NE 20th St, Bellevue, WA 98007",Waiter Service,10.0,Señor Taco,148,No
"14339 NE 20th St, Bellevue, WA 98007",Drive-Thru,10.0,Señor Taco,148,No
"14339 NE 20th St, Bellevue, WA 98007",Caters,10.0,Señor Taco,148,Yes
"1452 NW 70th St, Seattle, WA 98117",Takes Reservations,10.0,Tarasco Mexican Restaurant,63,No
"1452 NW 70th St, Seattle, WA 98117",Delivery,10.0,Tarasco Mexican Restaurant,63,No
"1452 NW 70th St, Seattle, WA 98117",Take-out,10.0,Tarasco Mexican Restaurant,63,Yes
"1452 NW 70th St, Seattle, WA 98117",Accepts Credit Cards,10.0,Tarasco Mexican Restaurant,63,Yes
"1452 NW 70th St, Seattle, WA 98117",Good For,10.0,Tarasco Mexican Restaurant,63,"Dinner, Late Night"
"1452 NW 70th St, Seattle, WA 98117",Parking,10.0,Tarasco Mexican Restaurant,63,"Street, Private Lot"
"1452 NW 70th St, Seattle, WA 98117",Bike Parking,10.0,Tarasco Mexican Restaurant,63,Yes
"1452 NW 70th St, Seattle, WA 98117",Good for Kids,10.0,Tarasco Mexican Restaurant,63,No
"1452 NW 70th St, Seattle, WA 98117",Good for Groups,10.0,Tarasco Mexican Restaurant,63,Yes
"1452 NW 70th St, Seattle, WA 98117",Attire,10.0,Tarasco Mexican Restaurant,63,Casual
